"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","date","week","location","long","lat"
"1","December 31, 2014","California","Los Angeles","81st Street and Western Avenue",1,3,"N/A",2014-12-31,53,"Los Angeles ,   California",-118.2436849,34.0522342
"2","December 29, 2014","Louisiana","New Orleans","Poydras and Bolivar",0,4,"N/A",2014-12-29,52,"New Orleans ,   Louisiana",-90.0715323,29.9510658
"3","December 27, 2014","California","Los Angeles","8800 block of South Figueroa Street",1,3,"N/A",2014-12-27,52,"Los Angeles ,   California",-118.2436849,34.0522342
"4","December 27, 2014","California","Sacramento","4000 block of May Street",0,4,"N/A",2014-12-27,52,"Sacramento ,   California",-121.4943996,38.5815719
"5","December 26, 2014","Illinois","East St. Louis","2500 block of Summit Avenue",1,3,"N/A",2014-12-26,52,"East St. Louis ,   Illinois",-90.1506465,38.624514
"6","December 24, 2014","Missouri","Saint Louis","18th and Pine",1,3,"N/A",2014-12-24,52,"Saint Louis ,   Missouri",-90.1994042,38.6270025
"7","December 23, 2014","Kentucky","Winchester","260 Oxford Drive",1,3,"N/A",2014-12-23,51,"Winchester ,   Kentucky",-84.1796503,37.990079
"8","December 22, 2014","New York","Webster","191 Lake Road",3,2,"N/A",2014-12-22,51,"Webster ,   New York",-77.4299939,43.2122851
"9","December 22, 2014","Michigan","Detroit","Charlevoix and Philip",1,3,"N/A",2014-12-22,51,"Detroit ,   Michigan",-83.0457538,42.331427
"10","December 22, 2014","Illinois","Chicago","5700 block of South Green Street",0,5,"N/A",2014-12-22,51,"Chicago ,   Illinois",-87.6297982,41.8781136
"11","December 21, 2014","Florida","Sarasota","South Washington Boulevard",2,2,"N/A",2014-12-21,51,"Sarasota ,   Florida",-82.5306527,27.3364347
"12","December 21, 2014","Mississippi","Waynesboro","Central Avenue",1,4,"N/A",2014-12-21,51,"Waynesboro ,   Mississippi",-88.6461465,31.674883
"13","December 21, 2014","Illinois","Calumet City","600 block of Escanba",1,8,"N/A",2014-12-21,51,"Calumet City ,   Illinois",-87.5294871,41.6155909
"14","December 20, 2014","Illinois","Rockford","3200 block of Montrose Avenue",4,0,"N/A",2014-12-20,51,"Rockford ,   Illinois",-89.0939952,42.2711311
"15","December 16, 2014","New Jersey","Elizabeth","Anna Street",0,4,"N/A",2014-12-16,50,"Elizabeth ,   New Jersey",-74.2107006,40.6639916
"16","December 14, 2014","Florida","Miami","1311 Northwest 2nd Avenue",1,4,"N/A",2014-12-14,50,"Miami ,   Florida",-80.1917902,25.7616798
"17","December 13, 2014","Florida","Tampa","810 E. Skagway Ave.",0,5,"N/A",2014-12-13,50,"Tampa ,   Florida",-82.4571776,27.950575
"18","December 12, 2014","Oregon","Portland","717 North Killingsworth Court",0,4,"N/A",2014-12-12,50,"Portland ,   Oregon",-122.6764815,45.5230622
"19","December 12, 2014","Georgia","Macon","2822 Bloomfield Drive",3,3,"N/A",2014-12-12,50,"Macon ,   Georgia",-83.6324022,32.8406946
"20","December 7, 2014","Indiana","South Bend","16000 block of Roosevelt Road",0,4,"N/A",2014-12-07,49,"South Bend ,   Indiana",-86.2519898,41.6763545
"21","December 2, 2014","Missouri","Saint Louis","6000 block of Virginia Avenue",1,5,"N/A",2014-12-02,48,"Saint Louis ,   Missouri",-90.1994042,38.6270025
"22","December 2, 2014","Virginia","Newport News","6128 Jefferson Ave ",0,5,"N/A",2014-12-02,48,"Newport News ,   Virginia",-76.4730122,37.0870821
"23","November 30, 2014","New York","Brooklyn","375 Remsen Avenue",0,4,"N/A",2014-11-30,48,"Brooklyn ,   New York",-73.9441579,40.6781784
"24","November 30, 2014","Tennessee","Chattanooga","2412 East 13th Street ",0,5,"N/A",2014-11-30,48,"Chattanooga ,   Tennessee",-85.3096801,35.0456297
"25","November 29, 2014","Georgia","Atlanta","1600 block of Richmond Avenue",3,2,"N/A",2014-11-29,48,"Atlanta ,   Georgia",-84.3879824,33.7489954
"26","November 29, 2014","New Jersey","Newark","348 S Orange Ave",1,3,"N/A",2014-11-29,48,"Newark ,   New Jersey",-74.1723667,40.735657
"27","November 28, 2014","Tennessee","Memphis","1849 East Brooks Road ",0,4,"N/A",2014-11-28,48,"Memphis ,   Tennessee",-90.0489801,35.1495343
"28","November 27, 2014","Texas","Weir","County Road 934",2,3,"N/A",2014-11-27,48,"Weir ,   Texas",-97.5861701,30.6749425
"29","November 26, 2014","California","San Francisco","Mission and 13th streets",0,6,"N/A",2014-11-26,48,"San Francisco ,   California",-122.4194155,37.7749295
"30","November 23, 2014","Virginia","Accomack County","Parksley Road",0,4,"N/A",2014-11-23,47,"Accomack County ,   Virginia",-75.8069082,37.7063323
"31","November 23, 2014","Colorado","Denver","Federal Boulevard and 16th Avenue",1,4,"N/A",2014-11-23,47,"Denver ,   Colorado",-104.990251,39.7392358
"32","November 22, 2014","Ohio","Cleveland","1400 block of East 92nd Street",4,1,"N/A",2014-11-22,47,"Cleveland ,   Ohio",-81.6943605,41.49932
"33","November 22, 2014","South Dakota","Sisseton","Fourth Avenue",4,1,"N/A",2014-11-22,47,"Sisseton ,   South Dakota",-97.0498046,45.6646815
"34","November 22, 2014","Ohio","Springfield","Clifton Avenue and Rice Street",1,3,"N/A",2014-11-22,47,"Springfield ,   Ohio",-83.8088171,39.9242266
"35","November 21, 2014","Pennsylvania","Pittsburgh","600 block of Miller Avenue",0,6,"N/A",2014-11-21,47,"Pittsburgh ,   Pennsylvania",-79.9958864,40.4406248
"36","November 19, 2014","Illinois","Chicago","700 block of North St. Louis Avenue",1,3,"N/A",2014-11-19,47,"Chicago ,   Illinois",-87.6297982,41.8781136
"37","November 18, 2014","Nevada","North Las Vegas","Englestad Street",0,4,"N/A",2014-11-18,46,"North Las Vegas ,   Nevada",-115.1175013,36.1988592
"38","November 16, 2014","Ohio","Akron","1891 East Market Street",1,4,"N/A",2014-11-16,46,"Akron ,   Ohio",-81.5190053,41.0814447
"39","November 16, 2014","Texas","El Paso","115 S. Durango",0,6,"N/A",2014-11-16,46,"El Paso ,   Texas",-106.4850217,31.7618778
"40","November 15, 2014","Missouri","Springfield","2555 N. Glenstone",4,0,"N/A",2014-11-15,46,"Springfield ,   Missouri",-93.2922989,37.2089572
"41","November 15, 2014","Florida","Miami","NW 55th and 12th",1,3,"N/A",2014-11-15,46,"Miami ,   Florida",-80.1917902,25.7616798
"42","November 8, 2014","California","Pomona","499 E. Arrow Highway",0,5,"N/A",2014-11-08,45,"Pomona ,   California",-117.7499909,34.055103
"43","November 7, 2014","California","Compton","136th Street ",0,4,"N/A",2014-11-07,45,"Compton ,   California",-118.2200712,33.8958492
"44","November 7, 2014","California","Los Angeles","East 126th Street and North Compton Avenue",0,4,"N/A",2014-11-07,45,"Los Angeles ,   California",-118.2436849,34.0522342
"45","November 5, 2014","California","San Francisco","1100 block of Alabama Street ",0,4,"N/A",2014-11-05,45,"San Francisco ,   California",-122.4194155,37.7749295
"46","October 29, 2014","Tennessee","Memphis","Yale Road and Ramill Road",0,5,"N/A",2014-10-29,44,"Memphis ,   Tennessee",-90.0489801,35.1495343
"47","October 26, 2014","Kentucky","Cadiz","1410 Old Dover Road",4,0,"N/A",2014-10-26,43,"Cadiz ,   Kentucky",-87.835295,36.8650496
"48","October 24, 2014","Washington","Marysville","5611 108th St Ne",5,1,"N/A",2014-10-24,43,"Marysville ,   Washington",-122.1770818,48.0517637
"49","October 24, 2014","California","Sacramento","2030 Arden Way",2,3,"N/A",2014-10-24,43,"Sacramento ,   California",-121.4943996,38.5815719
"50","October 18, 2014","New York","Queens","33-02 Queens Blvd",0,4,"N/A",2014-10-18,42,"Queens ,   New York",-73.7948516,40.7282239
"51","October 18, 2014","South Carolina","Graniteville","192 Breezy Hill Road",1,3,"N/A",2014-10-18,42,"Graniteville ,   South Carolina",-81.8081622,33.5633311
"52","October 18, 2014","New York","Brooklyn","Lenox Road",0,4,"N/A",2014-10-18,42,"Brooklyn ,   New York",-73.9441579,40.6781784
"53","October 16, 2014","Michigan","Detroit","Mogul Street",1,3,"N/A",2014-10-16,42,"Detroit ,   Michigan",-83.0457538,42.331427
"54","October 14, 2014","Georgia","Peachtree Corners","6505 Bannor Lane",3,2,"N/A",2014-10-14,41,"Peachtree Corners ,   Georgia",-84.2212938,33.969864
"55","October 13, 2014","Georgia","Atlanta","85 Mount Zion Road",0,4,"N/A",2014-10-13,41,"Atlanta ,   Georgia",-84.3879824,33.7489954
"56","October 12, 2014","California","Stockton","1100 block of East March Lane",3,1,"N/A",2014-10-12,41,"Stockton ,   California",-121.2907796,37.9577016
